Date,Opponent,Outcome,S,K,E,TA,Hitting_Pctg,A,SA,SE,RE,D,BS,BA,BE,TB,BHE,PTS
08/30/2019,at Babson College,L,3,1,5,17,-0.235,15,0,2,1,6,0,1,0,1,2,1.5
08/31/2019,vs Maine-Presque Isle,W,3,1,1,3,0,13,0,0,0,9,0,0,0,0,0,1
08/31/2019,vs Suffolk,W,3,5,1,13,0.308,14,2,1,0,10,0,2,0,2,0,8
09/04/2019,Moravian,L,5,3,3,18,0,30,3,2,0,9,1,0,0,1,0,7
9/7/2019,at Union (NY),L,4,0,1,7,-0.143,22,0,0,0,20,0,1,0,1,0,0.5
9/7/2019,vs Middlebury,L,4,1,1,7,0,33,3,0,0,17,0,1,0,1,0,4.5
9/11/2019,at FDU-Florham,W,3,1,1,3,0,34,3,0,0,14,0,1,0,1,0,4.5
9/12/2019,vs St. Elizabeth,W,3,1,1,8,0,23,11,2,0,15,0,0,0,0,0,12
9/18/2019,at Lehman,W,3,1,0,3,0.333,22,3,1,0,9,0,0,0,0,0,4
9/19/2019,at Baruch,W,3,0,2,8,-0.25,37,2,2,0,17,0,1,0,1,0,2.5
9/22/2019,vs Cedar Crest,W,4,0,1,8,-0.125,48,3,3,0,12,1,0,0,1,3,4
9/22/2019,at Marywood,W,4,2,1,11,0.091,43,5,4,1,20,0,1,0,1,3,7.5
9/24/2019,Sarah Lawrence,W,3,3,2,12,0.083,26,2,2,0,18,0,0,0,0,0,5
9/26/2019,Yeshiva,W,3,5,1,6,0.667,26,1,0,0,0,0,0,0,0,1,6
9/28/2019,Clarks Summit,W,3,6,0,11,0.545,28,1,4,0,16,0,0,0,0,0,7
10/01/2019,at Old Westbury,W,3,4,0,5,0.8,27,3,2,1,13,0,0,0,0,0,7
10/04/2019,at MSU,L,3,2,1,7,0.143,20,2,1,0,6,0,0,1,0,0,4
10/07/2019,SUNY Maritime,W,3,7,0,10,0.7,33,5,3,0,15,0,0,0,0,0,12
10/9/2019,Merchant Marine,W,5,3,0,12,0.25,50,1,4,0,17,0,0,0,0,1,4
10/12/2019,vs Colby-Sawyer,W,3,2,0,2,1,30,3,2,0,12,0,0,0,0,0,5
10/12/2019,at Lasell,W,3,4,1,8,0.375,22,1,2,0,9,0,0,0,0,0,5
10/15/2019,at Mount Saint Mary,W,3,3,0,6,0.5,28,1,0,0,15,0,0,1,0,0,4
10/17/2019,Farmingdale St.,W,5,2,2,13,0,53,2,2,0,17,0,0,0,0,1,4
10/21/2019,at Purchase,W,3,2,0,3,0.667,31,1,0,1,4,0,0,0,0,0,3
10/23/2019,at CMSV,W,3,1,1,4,0,41,0,1,0,10,0,0,1,0,0,1
10/29/2019,at St. Joseph's (Brkln),W,3,6,1,10,0.5,34,1,3,0,16,0,0,0,0,0,7
10/31/2019,St. Joseph's (L.I.),W,3,4,2,8,0.25,28,0,0,0,14,0,0,1,0,0,4
11/7/2019,Farmingdale St.,W,5,3,0,8,0.375,60,1,3,0,14,0,0,0,0,0,4
11/9/2019,Merchant Marine,W,5,4,0,8,0.5,52,4,2,0,26,1,1,1,2,1,9.5
11/15/2019,at Johns Hopkins,L,3,1,0,5,0.2,11,0,0,0,10,0,0,0,0,0,1