Section,Filename,Python Script,R Script,Num_pages
Cover,cover.sla,cover.py,,1
Table of contents,toc.sla,toc.py,,1
By the numbers,By_the_numbers.sla,By_the_numbers.py,,1
Map or arcs,Map_of_arcs.sla,Map_of_arcs.py,arcs_map.r,1
NAIA Cover,NAIA_cover.sla,NAIA_cover.py,,1
Meet the NAIA players,NAIA_mugshots.sla,NAIA_mugshots_3x4.py,,4
NAIA Action Shots,NAIA_action_shots.sla,NAIA_action_shots.py,,3
Article: FMU Eight,./Articles/FMU_article/FMU_article.sla,,Bernier_heights_barplot_3.r,5
NCAA DI Cover,NCAA_DI_cover.sla,NCAA_DI_cover.py,,1
Meet the NCAA DI players,NCAA_DI_mugshots.sla,NCAA_DI_mugshots_3x4.py,,5
NCAA DI Action Shots,NCAA_DI_action_shots.sla,NCAA_DI_action_shots.py,,6
Article: Andrea Fuentes,./Articles/Andrea_Fuentes_article/Fuentes_article.sla,,,8
Article: Feliciano & Vázquez,./Articles/Evansville_article/Evansville_article.sla,,,5
Article: Lina Bernier,./Articles/Lina_Bernier_article/Bernier_article.sla,,Bernier_heights_barplot_3.r,6
Poster: Lina Bernier,./Articles/Lina_Bernier_article/Bernier_poster.sla,Bernier_poster.py,,1
Article: Mariana Trujillo,./Articles/Mariana_Trujillo/Trujillo_article.sla,,,4
NCAA DII Cover,NCAA_DII_cover.sla,NCAA_DII_cover.py,,1
Meet the NCAA DII players,NCAA_DII_mugshots.sla,NCAA_DII_mugshots_3x4.py,,5
NCAA DII Action Shots,NCAA_DII_action_shots.sla,NCAA_DII_action_shots.py,,6
Article: Eckert & Serra,./Articles/AIC_article/AIC_article.sla,,,4
NCAA DIII Cover,NCAA_DIII_cover.sla,NCAA_DIII_cover.py,,1
Meet the NCAA DIII players,NCAA_DIII_mugshots.sla,NCAA_DIII_mugshots_3x4.py,,3
NCAA DIII Action Shots,NCAA_DIII_action_shots.sla,NCAA_DIII_action_shots.py,,3
Article: Vital & Figueroa,./Articles/Vianca_Vital/Vital_article.sla,,,3
Article: María Pérez,./Articles/Maria_Perez/Perez_article.sla,,,3
Poster: María Pérez,./Articles/Maria_Perez/Perez_poster.sla,Perez_poster.py,,1
NJCAA DI Cover,NJCAA_DI_cover.sla,NJCAA_DI_cover.py,,1
Meet the NJCAA DI players,NJCAA_DI_mugshots.sla,NJCAA_DI_mugshots_3x4.py,,4
NJCAA DI Action Shots,NJCAA_DI_action_shots.sla,NJCAA_DI_action_shots.py,,2
NJCAA DII Cover,NJCAA_DII_cover.sla,NJCAA_DII_cover.py,,1
Meet the NJCAA DII players,NJCAA_DII_mugshots.sla,NJCAA_DII_mugshots_3x4.py,,3
NJCAA DII Action Shots,NJCAA_DII_action_shots.sla,NJCAA_DII_action_shots.py,,2
NJCAA Transfers,NJCAA_Transfers.sla,NJCAA_Transfers.py,,3
Beach Volleyball Cover,Beach_VB_cover.sla,Beach_VB_cover.py,,1
Meet the beach volleyball players,Beach_volleyball_mugshots.sla,Beach_volleyball_mugshots.py,,3
Beach volleyball Action Shots,Beach_VB_Action.sla,Beach_VB_Action.py,,2
All players list,All_Players.sla,All_Players.py,,8
LAI cover,LAI_cover.sla,LAI_cover.py,,1
PUC Cover,LAI_action_PUC_cover.sla,LAI_Action_PUC_cover.py,,1
PUC action,LAI_action_PUC.sla,LAI_action_PUC.py,,1
RUM Cover,LAI_action_RUM_cover.sla,LAI_Action_RUM_cover.py,,1
RUM action shots,LAI_action_RUM.sla,LAI_action_RUM.py,,3
IUPI Cover,LAI_action_RURP_cover.sla,LAI_Action_RURP_cover.py,,1
IUPI Action,LAI_action_RURP.sla,LAI_action_RURP.py,,2
UAGM Cover,LAI_action_UAGM_cover.sla,LAI_Action_UAGM_cover.py,,1
UAGM Action,LAI_action_UAGM.sla,LAI_action_UAGM.py,,1
Sagrado Cover,LAI_action_USC_cover.sla,LAI_Action_USC_cover.py,,1
Sagrado Action,LAI_action_USC.sla,LAI_action_USC.py,,1
Inter Cover,LAI_action_Inter_cover.sla,LAI_Action_Inter_cover.py,,1
Inter Action,LAI_action_Inter.sla,LAI_Action_Inter.py,,1
Where they play - Wordcloud,Where_they_play_wordcloud_colors.sla,Where_they_play_wordcloud_colors.py,wordclouds.r,1
Where they play - Map,USA_map.sla,USA_map.py,players_propsymbols_USA.r,1
Where they play - Barplot,Conference_percentages.sla,Conference_percentages.py,conference_percentages.r,1
Where they are from - Wordcloud,Where_they_are_from_wordcloud_colors.sla,Where_they_are_from_wordcloud_colors.py,wordclouds.r,1
Where they are from - Map,PR_map.sla,PR_map.py,players_propsymbols.r,1
Where they are from - Municipality,Where_they_are_from_Hometown.sla,players_by_municipality.py,,15
Where they are from - High School,Where_they_are_from_HighSchool.sla,players_by_high_school.py,,16
All Conference - Cover,All_Conference_cover.sla,All_Conference_cover.py,,1
All Conference,All_Conference.sla,All_Conferemce.py,,10
All Conference - List,All_Conference_list.sla,All_Conferemce_list.py,,2
All Academic - Cover,All_Academic_cover.sla,All_Academic_cover.py,,1
All Academic - Barplot,Majors.sla,Major_Categories.py,major_categories_barplot.r,1
All Academic - Photos,All_Academic.sla,All_Academic.py,,8
All Academic - List,All_Academic_list.sla,All_Academic_list.py,,3
Statitical leaders cover,Conf_leaders_cover.sla,Conf_leaders_cover.py,,1
Top 50,Top50.sla,Top50.py,,14
Top 50 list,Top50_list.sla,Top50_list.py,,2
Conference leaders,Conf_leaders.sla,Conf_leaders.py,,18
Conference leaders - List,Conf_leaders_list.sla,Conf_leaders_list.py,,3
Clubs - Cover,Clubs_cover.sla,Clubs_cover.py,,1
Club - 60 aces,Club_60_aces.sla,Club_60_aces.py,,2
Club - 60 blocks,Club_60_blocks.sla,Club_60_blocks.py,,1
Club - 200 kills 200 assists 200 digs,Club_200_kills_200_assists_200_digs.sla,Club_200_kills_200_assists_200_digs.py,,1
Club - 300 kills 300 digs,Club_300_kills_300_digs.sla,Club_300_kills_300_digs.py,,2
Club - 400 kills,Club_400_kills.sla,Club_400_kills.py,,1
Club - 500 digs,Club_500_digs.sla,Club_500_digs.py,,3
Club - 800 assists 300 digs,Club_800_assists_300_digs.sla,Club_800_assists_300_digs.py,,1
Club - 900 assists,Club_900_assists.sla,Club_900_assists.py,,1
National tournaments - Cover,National_tournaments_cover.sla,National_tournaments_cover.py,,1
National tournaments,National_tournaments.sla,National_tournaments.py,,10
National tournaments - List,National_tournaments_list.sla,National_tournaments_list.py,,2
Outstanding matches - Cover,Outstanding_matches_cover.sla,Outstanding_matches_cover.py,,1
Outstanding matches,Outstanding_matches.sla,Outstanding_matches.py,,4
Outstanding matches - List,Outstanding_matches_list.sla,Outstanding_matches_list.py,,1
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0