Player,Institution,State,Division,Photo
Ashley Román,Coppin State University,Maryland,NCAA DI,Troy Queen
Salma González,Coppin State University,Maryland,NCAA DI,Troy Queen
Anadys Valentín,Delaware State University,Delaware,NCAA DI,Delaware State University Athletics
Jasmal Cruz,Delaware State University,Delaware,NCAA DI,Delaware State University Athletics
Jaylibeth García,East Carolina University,North Carolina,NCAA DI,Rob Goldberg
Lina Bernier,Florida International University,Florida,NCAA DI,Florida International University Athletics
Natalia Rivera,Long Island University,New York,NCAA DI,Long Island University
Nashally Eleutiza,Manhattan College,New York,NCAA DI,Manhattan College Athletics
Jennevy Santos,Morgan State University,Maryland,NCAA DI,Lawrence Johnson
Alahna Díaz,New Jersey Institute of Technology,New Jersey,NCAA DI,Mike McLaughlin Photography
Andrea Laboy Rivera,North Carolina A&T,North Carolina,NCAA DI,Kevin L. Dorsey
Yomaries Villegas,North Carolina Central University,North Carolina,NCAA DI,Kevin Dorsey
Alejandra Rodríguez,Quinnipiac University,Connecticut,NCAA DI,Quinnipiac University Athletics
Alanis Alvarado,Saint Peter's University,New Jersey,NCAA DI,Beth Lochner
Angeleyshka Curbelo,Saint Peter's University,New Jersey,NCAA DI,Beth Lochner
Karla Seda,Saint Peter's University,New Jersey,NCAA DI,Beth Lochner
Stephanie Rivera,Saint Peter's University,New Jersey,NCAA DI,Beth Lochner
Wildalys Soto,Saint Peter's University,New Jersey,NCAA DI,Beth Lochner
Yaidelis López Jiménez,Saint Peter's University,New Jersey,NCAA DI,Beth Lochner
Laura Rojas,Southern Illinois University,Illinois,NCAA DI,Southern Illinois University Athletics
Kizzy Rodríguez,St. Francis College,New York,NCAA DI,St. Francis Brooklyn College Athletics
Ariana Pagán,Stephen F. Austin State University,Texas,NCAA DI,SFA University Athletics
Alejandra Pérez,Stetson University,Florida,NCAA DI,Stetson University
Kariely Santana & Melanie Feliciano,Tennessee State University,,NCAA DI,Tennessee State Athletics
Gina Rivera Ortiz,Tennessee State University,Tennessee,NCAA DI,Tennessee State Athletics
Sofía García Guerrios,Tennessee State University,Tennessee,NCAA DI,Tennessee State Athletics
Sharlissa de Jesús,The Citadel,South Carolina,NCAA DI,Molly Johnson | The Citadel
Kelly Negrón,University of California Irvine,California,NCAA DI,University of California Board of Regents
Paulina Pérez Rosas,University of Central Florida,Florida,NCAA DI,UCF Athletics
Alondra Vázquez,University of Evansville,Indiana,NCAA DI,University of Evansville
Cecilia Thon,University of Evansville,Indiana,NCAA DI,University of Evansville
Laura Ruiz,University of Evansville,Indiana,NCAA DI,University of Evansville
Melanie Feliciano,University of Evansville,Indiana,NCAA DI,University of Evansville
Paula Cerame,University of Florida,Florida,NCAA DI,Alex de la Osa
Paola Santiago,University of Illinois at Chicago,Illinois,NCAA DI,University of Illinois at Chicago Athletics
Katerina Rocafort,University of Michigan,Michigan,NCAA DI,Board of Regents of the University of Michigan
Andrea Fuentes,University of Missouri,Missouri,NCAA DI,Missouri Athletics
Dariana Hollingsworth Santana,University of Missouri,Missouri,NCAA DI,Missouri Athletics
Leandra Mangual Durán,University of Missouri,Missouri,NCAA DI,Missouri Athletics
Yamelis Mojica,University of New Mexico,New Mexico,NCAA DI, The University of New Mexico
Mariana Trujillo,University of North Alabama,Alabama,NCAA DI,University of North Alabama Athletics
Charyari Ramos,University of North Florida,Florida,NCAA DI,University of North Florida
Rocío Moro,University of North Florida,Florida,NCAA DI,University of North Florida
Solimar Cestero,University of North Florida,Florida,NCAA DI,Brad Young | ASUN Photos
Valeria Vázquez Gómez,University of Pittsburgh,Pennsylvania,NCAA DI,University of Pittsburgh Athletics
Camilla Covas,University of South Carolina,South Carolina,NCAA DI,South Carolina Gamecocks